DateTime,Players,Flags,Twitch Viewers,pos_sent_count,neg_sent_count,neu_sent_count
2017-06-10,2384.0,,,,,
2017-06-11,2619.0,,,,,
2017-06-12,2046.0,,,,,
2017-06-13,2110.0,,,,,
2017-06-14,1996.0,,,,,
2017-06-15,2056.0,,,,,
2017-06-16,2098.0,,,,,
2017-06-17,2229.0,,,,,
2017-06-18,2349.0,,,,,
2017-06-19,1965.0,,,,,
2017-06-20,1953.0,,,,,
2017-06-21,1773.0,,,,,
2017-06-22,1947.0,,,,,
2017-06-23,2800.0,,,,,
2017-06-24,3239.0,,,,,
2017-06-25,3710.0,,,,,
2017-06-26,3334.0,,,,,
2017-06-27,3273.0,,,,,
2017-06-28,3096.0,,,,,
2017-06-29,2911.0,,,,,
2017-06-30,2912.0,,,,,
2017-07-01,3190.0,,,,,
2017-07-02,3650.0,,,,,
2017-07-03,3420.0,,,,,
2017-07-04,3685.0,,,,,
2017-07-05,3182.0,,,,,
2017-07-06,2827.0,,,,,
2017-07-07,2820.0,,,,,
2017-07-08,2838.0,,,,,
2017-07-09,3214.0,,,,,
2017-07-10,2839.0,,,,,
2017-07-11,2619.0,,,,,
2017-07-12,2508.0,,,,,
2017-07-13,3069.0,,,,,
2017-07-14,2817.0,,,,,
2017-07-15,3033.0,,,,,
2017-07-16,3177.0,,,,,
2017-07-17,2526.0,,,,,
2017-07-18,2383.0,,,,,
2017-07-19,2283.0,,,,,
2017-07-20,2233.0,,,,,
2017-07-21,2294.0,,,,,
2017-07-22,2545.0,,,,,
2017-07-23,2804.0,,,,,
2017-07-24,2294.0,,,,,
2017-07-25,2384.0,,,,,
2017-07-26,2234.0,,,,,
2017-07-27,2235.0,,,,,
2017-07-28,2104.0,,,,,
2017-07-29,2403.0,,,,,
2017-07-30,2701.0,,,,,
2017-07-31,2198.0,,,,,
2017-08-01,2285.0,,,,,
2017-08-02,2084.0,,,,,
2017-08-03,2056.0,,,,,
2017-08-04,2023.0,,,,,
2017-08-05,2291.0,,,,,
2017-08-06,2446.0,,,,,
2017-08-07,1916.0,,,,,
2017-08-08,1978.0,,,,,
2017-08-09,1879.0,,,,,
2017-08-10,1885.0,,,,,
2017-08-11,2007.0,,,,,
2017-08-12,2323.0,,,,,
2017-08-13,2491.0,,,,,
2017-08-14,1842.0,,,,,
2017-08-15,1879.0,,,,,
2017-08-16,1866.0,,,,,
2017-08-17,1816.0,,,,,
2017-08-18,1953.0,,,,,
2017-08-19,2220.0,,,,,
2017-08-20,2662.0,,,,,
2017-08-21,1799.0,,,,,
2017-08-22,1823.0,,60.0,,,
2017-08-23,1749.0,,69.0,,,
2017-08-24,1888.0,,90.0,,,
2017-08-25,1829.0,,300.0,,,
2017-08-26,2076.0,,292.0,,,
2017-08-27,2424.0,,221.0,,,
2017-08-28,1652.0,,108.0,,,
2017-08-29,1681.0,,66.0,,,
2017-08-30,1595.0,,79.0,,,
2017-08-31,1550.0,,29.0,,,
2017-09-01,1786.0,,102.0,,,
2017-09-02,2067.0,,63.0,,,
2017-09-03,2151.0,,78.0,,,
2017-09-04,2139.0,,895.0,,,
2017-09-05,1631.0,,792.0,,,
2017-09-06,1615.0,,67.0,,,
2017-09-07,1599.0,,195.0,,,
2017-09-08,2112.0,,209.0,,,
2017-09-09,2308.0,,266.0,,,
2017-09-10,2503.0,,33943.0,,,
2017-09-11,1859.0,,544.0,,,
2017-09-12,1802.0,,76.0,,,
2017-09-13,1707.0,,47.0,,,
2017-09-14,1707.0,,114.0,,,
2017-09-15,1782.0,,55.0,,,
2017-09-16,2248.0,,146.0,,,
2017-09-17,2449.0,,401.0,,,
2017-09-18,1779.0,,178.0,,,
2017-09-19,1707.0,,176.0,,,
2017-09-20,1675.0,,154.0,,,
