DateTime,Players,neg_sent_count,neu_sent_count,pos_sent_count,Twitch_Viewers,pos_dist
3/18/2017,1735,0,2,4,0,0.666666667
3/19/2017,3394,1,2,6,0,0.666666667
3/20/2017,2320,2,2,2,0,0.333333333
3/21/2017,1691,1,1,3,0,0.6
3/22/2017,806,2,2,6,0,0.6
3/23/2017,1677,2,1,4,0,0.571428571
3/24/2017,1890,2,0,0,0,0
3/25/2017,2170,1,1,1,0,0.333333333
3/26/2017,2413,1,1,2,0,0.5
3/27/2017,1588,2,0,6,0,0.75
3/28/2017,1623,0,2,4,0,0.666666667
3/29/2017,1494,0,1,0,0,0
3/30/2017,1452,0,1,3,0,0.75
3/31/2017,1594,3,2,3,0,0.375
4/1/2017,2029,2,3,2,0,0.285714286
4/2/2017,2149,0,1,1,0,0.5
4/3/2017,1530,2,4,5,0,0.454545455
4/4/2017,1521,0,1,2,0,0.666666667
4/5/2017,2151,3,5,7,0,0.466666667
4/6/2017,4639,8,12,32,0,0.615384615
4/7/2017,8048,47,36,39,0,0.319672131
4/8/2017,10064,48,38,49,0,0.362962963
4/9/2017,9353,54,52,65,0,0.380116959
4/10/2017,7157,18,21,35,0,0.472972973
4/11/2017,3934,5,8,16,0,0.551724138
4/12/2017,3541,3,6,15,0,0.625
4/13/2017,3561,5,9,12,0,0.461538462
4/14/2017,3662,7,2,10,0,0.526315789
4/15/2017,3747,2,1,7,0,0.7
4/16/2017,3594,3,2,6,0,0.545454545
4/17/2017,2969,2,1,10,0,0.769230769
4/18/2017,2555,2,5,7,0,0.5
4/19/2017,2372,2,2,4,0,0.5
4/20/2017,2594,1,2,7,0,0.7
4/21/2017,2728,1,3,5,0,0.555555556
4/22/2017,2963,7,0,3,0,0.3
4/23/2017,2996,1,3,3,0,0.428571429
4/24/2017,2222,4,1,4,0,0.444444444
4/25/2017,2365,2,2,5,0,0.555555556
4/26/2017,1898,1,1,3,0,0.6
4/27/2017,1965,1,2,3,0,0.5
4/28/2017,2212,1,0,6,0,0.857142857
4/29/2017,2422,4,4,3,0,0.272727273
4/30/2017,2727,1,1,5,0,0.714285714
5/1/2017,2217,2,1,10,0,0.769230769
5/2/2017,3446,4,3,7,0,0.5
5/3/2017,3060,0,0,3,0,1
5/4/2017,3078,0,1,6,0,0.857142857
5/5/2017,3181,3,1,6,0,0.6
5/6/2017,3539,5,3,2,0,0.2
5/7/2017,3703,5,5,8,0,0.444444444
5/8/2017,2941,5,2,2,0,0.222222222
5/9/2017,2765,4,4,4,0,0.333333333
5/10/2017,2533,4,1,2,0,0.285714286
5/11/2017,2240,1,1,6,0,0.75
5/12/2017,2452,2,3,5,0,0.5
5/13/2017,2936,0,2,6,0,0.75
5/14/2017,2973,3,1,8,0,0.666666667
5/15/2017,2288,1,2,2,0,0.4
5/16/2017,2283,0,3,1,0,0.25
5/17/2017,2295,3,3,3,0,0.333333333
5/18/2017,2308,1,6,5,0,0.416666667
5/19/2017,2172,1,2,4,0,0.571428571
5/20/2017,2505,3,3,2,0,0.25
5/21/2017,2663,0,0,6,0,1
5/22/2017,2099,1,4,5,0,0.5
5/23/2017,2237,1,0,8,0,0.888888889
5/24/2017,2090,1,0,2,0,0.666666667
5/25/2017,2036,2,0,2,0,0.5
5/26/2017,2154,2,2,2,0,0.333333333
5/27/2017,2252,4,4,4,0,0.333333333
5/28/2017,2738,4,3,5,0,0.416666667
5/29/2017,2423,1,2,5,0,0.625
5/30/2017,1995,1,0,6,0,0.857142857
5/31/2017,2036,2,2,5,0,0.555555556
6/1/2017,1922,2,3,4,0,0.444444444
6/2/2017,2230,3,1,4,0,0.5
6/3/2017,2441,2,1,7,0,0.7
6/4/2017,2903,1,5,6,0,0.5
6/5/2017,2647,2,4,9,0,0.6
6/6/2017,2425,2,3,5,0,0.5
6/7/2017,2132,2,2,4,0,0.5
6/8/2017,2146,1,2,5,0,0.625
6/9/2017,2295,2,3,5,0,0.5
6/10/2017,2384,0,2,2,0,0.5
6/11/2017,2619,3,0,3,0,0.5
6/12/2017,2046,3,3,6,0,0.5
6/13/2017,2110,0,4,4,0,0.5
6/14/2017,1996,1,1,4,0,0.666666667
6/15/2017,2056,1,1,3,0,0.6
6/16/2017,2098,2,2,4,0,0.5
6/17/2017,2229,2,0,6,0,0.75
6/18/2017,2349,1,2,4,0,0.571428571
6/19/2017,1965,0,4,4,0,0.5
6/20/2017,1953,3,2,7,0,0.583333333
6/21/2017,1773,3,0,5,0,0.625
6/22/2017,1947,7,4,8,0,0.421052632
6/23/2017,2800,9,3,18,0,0.6
6/24/2017,3239,11,7,8,0,0.307692308
6/25/2017,3710,4,2,12,0,0.666666667
6/26/2017,3334,9,6,15,0,0.5
6/27/2017,3273,4,5,20,0,0.689655172
6/28/2017,3096,3,7,14,0,0.583333333
6/29/2017,2911,6,5,12,0,0.52173913
6/30/2017,2912,7,3,15,0,0.6
7/1/2017,3190,7,6,7,0,0.35
7/2/2017,3650,5,9,11,0,0.44
7/3/2017,3420,3,3,8,0,0.571428571
7/4/2017,3685,8,9,10,0,0.37037037
7/5/2017,3182,3,4,11,0,0.611111111
7/6/2017,2827,6,1,0,0,0
7/7/2017,2820,5,2,8,0,0.533333333
7/8/2017,2838,5,2,7,0,0.5
7/9/2017,3214,2,1,6,0,0.666666667
